user_id,academic_year,branch,skills,quiz_q1_response,quiz_q2_response,quiz_q3_response,quiz_q4_response,quiz_q5_response,quiz_q6_response,quiz_q7_response,quiz_q8_response,quiz_q9_response,quiz_q10_response,visual_percent,auditory_percent,kinesthetic_percent,recommended_format,recommended_courses,recommended_books,recommended_blogs
11,Final Year (BE),Computer Science Engineering,"Python, JavaScript",B,C,A,A,A,A,B,C,A,B,41,43,16,Podcasts,"Cybersecurity Basics, Intro to DSA, ML Bootcamp","Python Crash Course, You Don’t Know JS","freecodecamp.org, geeksforgeeks.org"
12,Final Year (BE),Information Technology,"Figma, Python",C,A,B,A,C,B,C,B,C,A,22,74,4,Podcasts,"AWS Cloud Essentials, Cybersecurity Basics, Frontend Crash Course",Design Patterns,freecodecamp.org
13,Second Year (SE),Information Technology,"HTML, JavaScript, CSS, C++",B,B,A,C,B,C,C,C,C,C,47,12,41,Videos,"ML Bootcamp, Intro to DSA",Design Patterns,"dev.to, medium.com"
14,Second Year (SE),Information Technology,"AWS, JavaScript, HTML, C++",C,C,C,B,A,B,A,B,B,C,39,22,39,Videos,"Frontend Crash Course, AWS Cloud Essentials",You Don’t Know JS,"towardsdatascience.com, freecodecamp.org"
15,First Year (FE),Computer Science Engineering,"JavaScript, Linux, Java",C,A,C,A,C,C,B,B,C,A,33,12,55,Projects,"ML Bootcamp, Intro to DSA","Clean Code, You Don’t Know JS","freecodecamp.org, dev.to"
16,Second Year (SE),Artificial Intelligence and Machine Learning,"CSS, JavaScript, C++, HTML, Java",B,A,A,A,C,A,A,B,B,C,52,26,22,Videos,Cybersecurity Basics,You Don’t Know JS,"geeksforgeeks.org, dev.to"
17,Third Year (TE),Information Technology,"HTML, Docker, Python, SQL, Java",B,B,A,C,C,A,A,A,A,C,44,39,17,Videos,"Frontend Crash Course, ML Bootcamp","Python Crash Course, Design Patterns",freecodecamp.org
18,Third Year (TE),Information Technology,"SQL, AWS, HTML",A,A,C,B,C,A,C,A,B,B,55,19,26,Videos,"ML Bootcamp, Intro to DSA, AWS Cloud Essentials","You Don’t Know JS, Python Crash Course",medium.com
19,First Year (FE),Artificial Intelligence and Machine Learning,"JavaScript, Java",B,B,C,A,A,C,C,C,A,C,51,35,14,Videos,Frontend Crash Course,"Design Patterns, AI: A Modern Approach","medium.com, freecodecamp.org"
20,First Year (FE),Electronics and Computer Engineering,"JavaScript, C++, AWS",A,C,B,B,A,A,C,B,C,B,40,49,11,Podcasts,"Intro to DSA, Cybersecurity Basics, ML Bootcamp","AI: A Modern Approach, Design Patterns",dev.to
21,Third Year (TE),Electronics & Communication,"AWS, CSS, Linux",C,B,A,A,A,C,B,C,A,B,41,52,7,Podcasts,"Intro to DSA, ML Bootcamp","Clean Code, AI: A Modern Approach","dev.to, geeksforgeeks.org"
22,Second Year (SE),Artificial Intelligence and Machine Learning,"HTML, Linux, Python, SQL",B,C,A,B,B,C,B,A,C,B,24,21,55,Projects,"ML Bootcamp, Cybersecurity Basics, Frontend Crash Course","Clean Code, Python Crash Course",dev.to
23,First Year (FE),Information Technology,"Python, Java",C,A,B,C,B,B,A,C,A,A,30,35,35,Podcasts,"AWS Cloud Essentials, Frontend Crash Course, ML Bootcamp",You Don’t Know JS,"medium.com, freecodecamp.org"
24,First Year (FE),Artificial Intelligence and Machine Learning,"HTML, SQL",B,C,A,A,B,B,B,B,C,B,27,19,54,Projects,"Cybersecurity Basics, Frontend Crash Course","Design Patterns, Python Crash Course",towardsdatascience.com
25,First Year (FE),Artificial Intelligence and Machine Learning,"JavaScript, SQL, Docker",C,B,A,B,A,B,A,C,B,C,50,38,12,Videos,"ML Bootcamp, Frontend Crash Course, AWS Cloud Essentials",Python Crash Course,dev.to
26,Final Year (BE),Electronics and Computer Engineering,"Figma, AWS, HTML, Python",B,B,B,A,A,B,A,B,B,C,59,26,15,Videos,"Intro to DSA, AWS Cloud Essentials","You Don’t Know JS, Python Crash Course","towardsdatascience.com, dev.to"
27,First Year (FE),Artificial Intelligence and Machine Learning,"HTML, React, AWS",B,A,A,C,B,A,C,C,B,B,60,13,27,Videos,Cybersecurity Basics,"Design Patterns, AI: A Modern Approach",towardsdatascience.com
28,Second Year (SE),Computer Science Engineering,"JavaScript, Linux, React, Java, AWS",B,B,A,C,B,B,C,C,C,C,48,31,21,Videos,"Cybersecurity Basics, AWS Cloud Essentials","You Don’t Know JS, AI: A Modern Approach","towardsdatascience.com, dev.to"
29,First Year (FE),Computer Science Engineering,"Java, JavaScript",B,C,A,A,C,B,B,B,B,B,58,16,26,Videos,"AWS Cloud Essentials, ML Bootcamp",Clean Code,medium.com
30,First Year (FE),Artificial Intelligence and Machine Learning,"AWS, CSS, React, JavaScript",C,B,C,A,B,C,C,C,A,B,45,12,43,Videos,"Intro to DSA, AWS Cloud Essentials",AI: A Modern Approach,"towardsdatascience.com, dev.to"
31,Third Year (TE),Artificial Intelligence and Machine Learning,"React, Docker, Linux",A,C,B,A,C,B,C,B,B,A,48,49,3,Podcasts,"ML Bootcamp, AWS Cloud Essentials",AI: A Modern Approach,dev.to
32,Second Year (SE),Electronics & Communication,"Java, Figma",B,A,C,C,C,C,C,C,B,A,35,26,39,Projects,"Cybersecurity Basics, AWS Cloud Essentials",You Don’t Know JS,"freecodecamp.org, towardsdatascience.com"
33,First Year (FE),Electronics & Communication,"Docker, AWS, Figma, C++",A,A,A,A,C,B,B,B,A,C,10,36,54,Projects,AWS Cloud Essentials,"You Don’t Know JS, AI: A Modern Approach",dev.to
34,First Year (FE),Computer Science Engineering,"JavaScript, SQL, AWS",C,B,C,B,B,B,A,A,C,B,54,40,6,Videos,Cybersecurity Basics,Python Crash Course,"towardsdatascience.com, geeksforgeeks.org"
35,First Year (FE),Artificial Intelligence and Machine Learning,"CSS, Docker, JavaScript",A,A,B,C,C,B,A,B,B,C,51,45,4,Videos,ML Bootcamp,AI: A Modern Approach,"geeksforgeeks.org, medium.com"
36,Final Year (BE),Electronics and Computer Engineering,"SQL, Figma",C,C,C,A,B,C,C,B,B,B,56,38,6,Videos,"AWS Cloud Essentials, Cybersecurity Basics",Design Patterns,medium.com
37,Final Year (BE),Electronics and Computer Engineering,"JavaScript, Docker, Python, Figma, HTML",B,B,C,A,B,B,C,C,C,A,39,36,25,Videos,Cybersecurity Basics,AI: A Modern Approach,"towardsdatascience.com, medium.com"
38,Second Year (SE),Information Technology,"Python, AWS, Docker, C++, CSS",B,B,A,C,A,C,A,B,B,A,10,17,73,Projects,"Cybersecurity Basics, ML Bootcamp, AWS Cloud Essentials",Clean Code,"geeksforgeeks.org, towardsdatascience.com"
39,Third Year (TE),Computer Science Engineering,"AWS, Linux, SQL",B,B,A,B,B,C,A,C,A,A,54,39,7,Videos,"Frontend Crash Course, Cybersecurity Basics, AWS Cloud Essentials",You Don’t Know JS,geeksforgeeks.org
40,Second Year (SE),Electronics & Communication,"Python, React, JavaScript, HTML",C,A,C,A,C,C,C,C,A,C,13,22,65,Projects,"Cybersecurity Basics, ML Bootcamp",You Don’t Know JS,"towardsdatascience.com, geeksforgeeks.org"
41,Final Year (BE),Artificial Intelligence and Machine Learning,"CSS, HTML",C,B,B,A,C,C,A,C,C,A,32,39,29,Podcasts,"ML Bootcamp, Frontend Crash Course, AWS Cloud Essentials","You Don’t Know JS, Clean Code",medium.com
42,First Year (FE),Electronics & Communication,"AWS, Java, Python",A,A,B,A,C,A,B,C,B,C,43,40,17,Videos,"Frontend Crash Course, Cybersecurity Basics, AWS Cloud Essentials",AI: A Modern Approach,"medium.com, geeksforgeeks.org"
43,Second Year (SE),Electronics & Communication,"AWS, Java",B,B,A,C,A,A,C,C,C,A,36,11,53,Projects,"ML Bootcamp, Frontend Crash Course",You Don’t Know JS,towardsdatascience.com
44,Final Year (BE),Electronics and Computer Engineering,"CSS, Linux, JavaScript",A,B,A,C,B,A,B,B,B,B,47,11,42,Videos,"Cybersecurity Basics, Frontend Crash Course","You Don’t Know JS, AI: A Modern Approach","freecodecamp.org, dev.to"
45,Third Year (TE),Electronics & Communication,"Linux, CSS, Python, HTML, JavaScript",B,B,B,B,C,B,B,B,C,B,44,18,38,Videos,"Frontend Crash Course, ML Bootcamp",You Don’t Know JS,"towardsdatascience.com, freecodecamp.org"
46,Third Year (TE),Computer Science Engineering,"Java, JavaScript",B,B,A,B,B,B,A,B,C,B,56,18,26,Videos,Frontend Crash Course,Python Crash Course,geeksforgeeks.org
47,Final Year (BE),Computer Science Engineering,"Linux, C++, React, Python, HTML",B,C,B,B,B,A,B,C,A,B,36,35,29,Videos,"AWS Cloud Essentials, Cybersecurity Basics",Clean Code,"geeksforgeeks.org, medium.com"
48,Second Year (SE),Computer Science Engineering,"CSS, AWS",C,A,B,A,A,B,A,C,C,B,12,15,73,Projects,"ML Bootcamp, Intro to DSA",Python Crash Course,freecodecamp.org
49,Third Year (TE),Computer Science Engineering,"React, HTML, Figma",C,A,A,A,C,B,C,B,B,C,17,49,34,Podcasts,"Intro to DSA, ML Bootcamp","Python Crash Course, Clean Code","geeksforgeeks.org, freecodecamp.org"
50,First Year (FE),Computer Science Engineering,"Docker, AWS, Java, SQL",C,C,B,B,C,B,C,B,C,B,23,57,20,Podcasts,"Intro to DSA, Cybersecurity Basics, Frontend Crash Course","AI: A Modern Approach, Python Crash Course","towardsdatascience.com, freecodecamp.org"
51,Second Year (SE),Artificial Intelligence and Machine Learning,"SQL, Java",B,A,B,C,C,C,C,C,B,B,60,16,24,Videos,"AWS Cloud Essentials, Intro to DSA",Design Patterns,"dev.to, freecodecamp.org"
52,First Year (FE),Artificial Intelligence and Machine Learning,"Linux, Figma, Python, JavaScript, C++",B,A,B,B,A,A,A,A,C,C,45,41,14,Videos,ML Bootcamp,Design Patterns,"medium.com, towardsdatascience.com"
53,Third Year (TE),Artificial Intelligence and Machine Learning,"HTML, Docker, C++, SQL, CSS",B,C,B,B,C,B,C,C,B,B,40,12,48,Projects,ML Bootcamp,You Don’t Know JS,geeksforgeeks.org
54,First Year (FE),Electronics & Communication,"Python, HTML, React, SQL",B,A,B,A,C,C,C,C,B,A,16,13,71,Projects,"Frontend Crash Course, ML Bootcamp","You Don’t Know JS, AI: A Modern Approach","freecodecamp.org, dev.to"
55,First Year (FE),Computer Science Engineering,"AWS, JavaScript",A,B,C,B,B,B,B,B,A,B,35,44,21,Podcasts,ML Bootcamp,You Don’t Know JS,towardsdatascience.com
56,Second Year (SE),Artificial Intelligence and Machine Learning,"CSS, Figma, SQL",B,A,B,B,C,A,B,B,A,B,56,33,11,Videos,"Cybersecurity Basics, ML Bootcamp","Clean Code, Python Crash Course","medium.com, towardsdatascience.com"
57,Second Year (SE),Computer Science Engineering,"Java, AWS, Figma, JavaScript, React",A,C,B,B,A,B,A,C,B,A,33,58,9,Podcasts,"AWS Cloud Essentials, Cybersecurity Basics","Python Crash Course, You Don’t Know JS",geeksforgeeks.org
58,Second Year (SE),Computer Science Engineering,"Linux, React, Python, AWS, CSS",C,B,A,A,C,C,C,A,C,B,36,27,37,Projects,"Frontend Crash Course, ML Bootcamp","You Don’t Know JS, Python Crash Course",freecodecamp.org
59,Second Year (SE),Electronics and Computer Engineering,"AWS, Figma",A,A,C,C,B,B,A,B,B,B,11,45,44,Podcasts,"AWS Cloud Essentials, Frontend Crash Course",Clean Code,"geeksforgeeks.org, dev.to"
60,Second Year (SE),Artificial Intelligence and Machine Learning,"Linux, JavaScript",B,B,A,B,A,C,B,A,C,C,13,86,1,Podcasts,"AWS Cloud Essentials, Frontend Crash Course","Design Patterns, Python Crash Course",dev.to
61,Final Year (BE),Electronics & Communication,"Java, JavaScript, HTML, C++",A,C,A,C,A,A,B,A,C,B,10,38,52,Projects,"Intro to DSA, AWS Cloud Essentials","Python Crash Course, AI: A Modern Approach",dev.to
62,Final Year (BE),Electronics and Computer Engineering,"Java, React, Figma, JavaScript, C++",B,B,A,B,B,C,B,B,C,B,20,17,63,Projects,ML Bootcamp,You Don’t Know JS,"dev.to, towardsdatascience.com"
63,First Year (FE),Artificial Intelligence and Machine Learning,"SQL, Figma, Docker, C++",C,B,B,A,A,A,C,C,A,A,50,39,11,Videos,"Intro to DSA, Frontend Crash Course, AWS Cloud Essentials","You Don’t Know JS, Python Crash Course","dev.to, medium.com"
64,Second Year (SE),Information Technology,"React, Linux",A,C,A,A,B,A,A,B,B,A,34,38,28,Podcasts,"Frontend Crash Course, Cybersecurity Basics",Design Patterns,"geeksforgeeks.org, medium.com"
65,Final Year (BE),Electronics and Computer Engineering,"HTML, SQL, Figma, C++, React",A,A,B,B,A,A,B,A,C,B,32,61,7,Podcasts,"Frontend Crash Course, Cybersecurity Basics, Intro to DSA",Python Crash Course,towardsdatascience.com
66,Second Year (SE),Artificial Intelligence and Machine Learning,"SQL, CSS",A,B,C,B,A,B,A,A,C,C,31,40,29,Podcasts,Intro to DSA,Python Crash Course,freecodecamp.org
67,Second Year (SE),Computer Science Engineering,"SQL, HTML, AWS, C++, Linux",A,A,C,A,A,C,B,A,A,B,26,67,7,Podcasts,"Frontend Crash Course, ML Bootcamp","Design Patterns, Clean Code","dev.to, towardsdatascience.com"
68,Final Year (BE),Artificial Intelligence and Machine Learning,"SQL, Linux",A,B,C,C,C,B,C,A,B,B,58,31,11,Videos,Intro to DSA,AI: A Modern Approach,dev.to
69,First Year (FE),Information Technology,"Docker, Java, HTML, Linux",C,B,C,C,B,B,B,B,C,C,50,19,31,Videos,"Cybersecurity Basics, AWS Cloud Essentials, Frontend Crash Course",Python Crash Course,freecodecamp.org
70,Final Year (BE),Artificial Intelligence and Machine Learning,"React, Linux, Figma, HTML, AWS",C,A,B,B,C,C,A,B,A,C,13,46,41,Podcasts,Frontend Crash Course,"Clean Code, You Don’t Know JS",towardsdatascience.com
71,Third Year (TE),Electronics & Communication,"React, Java",B,A,C,A,A,B,B,B,B,B,32,57,11,Podcasts,"Intro to DSA, Cybersecurity Basics, Frontend Crash Course",AI: A Modern Approach,"freecodecamp.org, medium.com"
72,Final Year (BE),Information Technology,"C++, JavaScript, SQL, Figma, React",A,C,C,C,C,A,B,B,B,B,32,43,25,Podcasts,"Intro to DSA, ML Bootcamp, AWS Cloud Essentials","AI: A Modern Approach, Python Crash Course",towardsdatascience.com
73,First Year (FE),Electronics & Communication,"Java, CSS",A,A,C,C,A,C,C,C,B,C,53,26,21,Videos,Frontend Crash Course,You Don’t Know JS,"freecodecamp.org, geeksforgeeks.org"
74,Second Year (SE),Computer Science Engineering,"React, Python, C++",B,B,A,B,A,B,A,B,B,B,51,39,10,Videos,"Frontend Crash Course, AWS Cloud Essentials","You Don’t Know JS, Python Crash Course",towardsdatascience.com
75,Third Year (TE),Electronics & Communication,"C++, Java, JavaScript, CSS, Figma",B,C,C,C,C,A,A,A,C,A,59,32,9,Videos,Cybersecurity Basics,"Python Crash Course, AI: A Modern Approach","towardsdatascience.com, dev.to"
76,Third Year (TE),Artificial Intelligence and Machine Learning,"AWS, Java, Linux, React",B,C,A,A,B,C,C,C,B,C,15,26,59,Projects,"AWS Cloud Essentials, Intro to DSA","Python Crash Course, You Don’t Know JS","medium.com, dev.to"
77,First Year (FE),Computer Science Engineering,"SQL, Python, Java",C,C,C,B,A,C,A,C,A,B,19,23,58,Projects,Cybersecurity Basics,You Don’t Know JS,"freecodecamp.org, dev.to"
78,Second Year (SE),Electronics and Computer Engineering,"SQL, HTML, Python, Java, Docker",C,B,A,B,C,A,A,B,B,C,34,28,38,Projects,AWS Cloud Essentials,Design Patterns,"medium.com, towardsdatascience.com"
79,Second Year (SE),Artificial Intelligence and Machine Learning,"HTML, CSS, Docker, SQL",C,A,B,C,A,B,C,A,A,A,25,45,30,Podcasts,"Frontend Crash Course, Intro to DSA","You Don’t Know JS, AI: A Modern Approach","dev.to, medium.com"
80,Third Year (TE),Computer Science Engineering,"Python, Figma, React, HTML",C,B,A,A,A,C,C,A,B,A,29,12,59,Projects,"Cybersecurity Basics, ML Bootcamp, Frontend Crash Course","AI: A Modern Approach, You Don’t Know JS",dev.to
81,Second Year (SE),Artificial Intelligence and Machine Learning,"Python, HTML",A,C,B,B,B,B,B,A,A,C,13,41,46,Projects,"Frontend Crash Course, Cybersecurity Basics",AI: A Modern Approach,freecodecamp.org
82,First Year (FE),Electronics & Communication,"React, AWS, Python, Docker",B,B,C,B,B,B,C,C,C,B,17,78,5,Podcasts,"ML Bootcamp, Intro to DSA","AI: A Modern Approach, Python Crash Course",freecodecamp.org
83,Third Year (TE),Electronics and Computer Engineering,"Figma, JavaScript",C,B,C,C,A,A,B,A,C,B,25,26,49,Projects,"AWS Cloud Essentials, Cybersecurity Basics, ML Bootcamp","Python Crash Course, You Don’t Know JS",freecodecamp.org
84,Third Year (TE),Electronics & Communication,"Java, Python, Figma, Linux, C++",C,C,A,C,B,C,A,B,B,A,38,40,22,Podcasts,"Intro to DSA, AWS Cloud Essentials, Cybersecurity Basics",Design Patterns,"freecodecamp.org, geeksforgeeks.org"
85,Final Year (BE),Computer Science Engineering,"SQL, HTML",A,C,B,A,B,B,C,B,C,A,58,12,30,Videos,"Cybersecurity Basics, AWS Cloud Essentials","Python Crash Course, Clean Code",dev.to
86,Final Year (BE),Information Technology,"Figma, C++, Java",C,C,C,C,B,A,B,A,C,C,10,61,29,Podcasts,"ML Bootcamp, Cybersecurity Basics, Intro to DSA","AI: A Modern Approach, Clean Code",freecodecamp.org
87,Second Year (SE),Computer Science Engineering,"Linux, C++, AWS, HTML",B,B,A,B,B,C,A,C,C,C,60,40,0,Videos,"Cybersecurity Basics, Frontend Crash Course, ML Bootcamp",Design Patterns,towardsdatascience.com
88,First Year (FE),Information Technology,"AWS, Figma",A,B,B,B,C,B,C,A,B,A,25,53,22,Podcasts,AWS Cloud Essentials,AI: A Modern Approach,geeksforgeeks.org
89,Second Year (SE),Electronics & Communication,"Docker, CSS",B,A,A,A,C,B,A,C,B,B,60,24,16,Videos,"Cybersecurity Basics, ML Bootcamp, Frontend Crash Course",Python Crash Course,geeksforgeeks.org
90,Final Year (BE),Artificial Intelligence and Machine Learning,"SQL, HTML, C++",A,A,C,B,B,A,A,C,B,A,33,21,46,Projects,Intro to DSA,"You Don’t Know JS, Python Crash Course",dev.to
91,Final Year (BE),Electronics and Computer Engineering,"SQL, C++, Figma, CSS, HTML",A,C,B,B,C,C,C,B,B,A,48,31,21,Videos,"ML Bootcamp, AWS Cloud Essentials",You Don’t Know JS,geeksforgeeks.org
92,Third Year (TE),Electronics and Computer Engineering,"AWS, Java, React, Linux",B,C,B,C,C,A,B,A,A,C,31,68,1,Podcasts,Cybersecurity Basics,Clean Code,"towardsdatascience.com, freecodecamp.org"
93,Second Year (SE),Artificial Intelligence and Machine Learning,"CSS, Figma, JavaScript",A,B,C,C,A,C,A,C,C,B,18,10,72,Projects,"ML Bootcamp, AWS Cloud Essentials","You Don’t Know JS, AI: A Modern Approach",medium.com
94,Final Year (BE),Information Technology,"React, HTML, Linux, Docker",C,C,B,B,B,B,A,B,B,B,13,14,73,Projects,AWS Cloud Essentials,Design Patterns,"geeksforgeeks.org, medium.com"
95,First Year (FE),Information Technology,"Figma, C++, Python, HTML",C,C,C,A,C,C,A,A,B,B,57,38,5,Videos,"Intro to DSA, Cybersecurity Basics, Frontend Crash Course",Design Patterns,dev.to
96,Final Year (BE),Information Technology,"Python, Linux",A,C,A,C,C,B,C,C,B,B,18,59,23,Podcasts,"Cybersecurity Basics, Frontend Crash Course",AI: A Modern Approach,"medium.com, towardsdatascience.com"
97,Second Year (SE),Computer Science Engineering,"Python, React, HTML, Docker",C,A,C,C,B,C,B,B,B,C,27,23,50,Projects,"Cybersecurity Basics, AWS Cloud Essentials",Clean Code,geeksforgeeks.org
98,Third Year (TE),Artificial Intelligence and Machine Learning,"CSS, Java",B,C,C,A,A,A,C,A,B,A,57,24,19,Videos,"Frontend Crash Course, Cybersecurity Basics","Design Patterns, Python Crash Course","geeksforgeeks.org, dev.to"
99,First Year (FE),Artificial Intelligence and Machine Learning,"CSS, Python",C,B,B,C,C,B,A,B,C,A,31,28,41,Projects,"Frontend Crash Course, Cybersecurity Basics",Design Patterns,"towardsdatascience.com, dev.to"
100,Second Year (SE),Computer Science Engineering,"Docker, React, Python, C++, HTML",A,A,A,B,B,A,C,C,C,A,30,54,16,Podcasts,"Cybersecurity Basics, Intro to DSA","AI: A Modern Approach, Python Crash Course",medium.com
101,First Year (FE),Electronics and Computer Engineering,"Figma, C++, Docker, Linux",B,B,A,B,C,C,B,C,C,C,43,43,14,Videos,"AWS Cloud Essentials, Intro to DSA, ML Bootcamp","You Don’t Know JS, Clean Code",towardsdatascience.com
102,Third Year (TE),Electronics and Computer Engineering,"JavaScript, AWS",B,B,B,C,B,B,A,A,B,C,47,12,41,Videos,AWS Cloud Essentials,AI: A Modern Approach,"medium.com, freecodecamp.org"
103,Third Year (TE),Artificial Intelligence and Machine Learning,"CSS, Python, JavaScript, Docker",B,C,B,C,C,A,B,B,C,A,11,64,25,Podcasts,Frontend Crash Course,Design Patterns,freecodecamp.org
104,Second Year (SE),Electronics and Computer Engineering,"C++, Figma, React",B,C,A,B,B,A,A,A,C,C,40,11,49,Projects,AWS Cloud Essentials,Python Crash Course,"freecodecamp.org, geeksforgeeks.org"
105,Final Year (BE),Computer Science Engineering,"CSS, C++, Java, React",A,B,C,B,A,B,B,B,C,A,44,30,26,Videos,Cybersecurity Basics,"Clean Code, Python Crash Course",medium.com
106,First Year (FE),Information Technology,"CSS, SQL, Python, Linux, Docker",A,C,B,B,C,A,C,A,A,C,15,56,29,Podcasts,ML Bootcamp,"Design Patterns, You Don’t Know JS",medium.com
107,First Year (FE),Electronics & Communication,"JavaScript, Linux, Python, Figma",A,C,A,B,C,A,C,A,C,A,22,49,29,Podcasts,"ML Bootcamp, Cybersecurity Basics, Intro to DSA",Clean Code,geeksforgeeks.org
108,Third Year (TE),Electronics and Computer Engineering,"AWS, Figma, CSS",A,C,A,A,C,A,B,B,B,C,11,21,68,Projects,"AWS Cloud Essentials, Frontend Crash Course, Intro to DSA",AI: A Modern Approach,"dev.to, towardsdatascience.com"
109,Third Year (TE),Computer Science Engineering,"AWS, CSS, React",C,C,C,A,B,B,B,C,B,A,57,32,11,Videos,"Intro to DSA, AWS Cloud Essentials","Clean Code, AI: A Modern Approach","medium.com, towardsdatascience.com"
110,Second Year (SE),Computer Science Engineering,"Linux, SQL",C,B,B,A,A,C,A,A,B,C,27,56,17,Podcasts,"Intro to DSA, AWS Cloud Essentials, Frontend Crash Course",Design Patterns,"geeksforgeeks.org, medium.com"
111,Final Year (BE),Information Technology,"CSS, SQL, C++",C,B,B,A,A,B,C,C,A,C,27,11,62,Projects,"Frontend Crash Course, AWS Cloud Essentials",Python Crash Course,dev.to
112,Final Year (BE),Electronics & Communication,"JavaScript, Figma",B,A,A,A,A,B,A,B,C,C,48,12,40,Videos,ML Bootcamp,"AI: A Modern Approach, Design Patterns","medium.com, freecodecamp.org"
113,Second Year (SE),Artificial Intelligence and Machine Learning,"Python, SQL, Figma",B,B,B,B,A,C,B,C,A,A,52,46,2,Videos,"ML Bootcamp, AWS Cloud Essentials",Python Crash Course,"medium.com, freecodecamp.org"
114,Final Year (BE),Computer Science Engineering,"React, Figma, Linux, Docker, C++",A,A,A,A,B,A,C,A,C,A,15,34,51,Projects,"Cybersecurity Basics, Frontend Crash Course, AWS Cloud Essentials","Python Crash Course, You Don’t Know JS","geeksforgeeks.org, dev.to"
115,First Year (FE),Electronics and Computer Engineering,"CSS, AWS, JavaScript",C,C,C,B,A,A,A,C,B,C,31,28,41,Projects,"AWS Cloud Essentials, Intro to DSA, ML Bootcamp",AI: A Modern Approach,freecodecamp.org
116,Second Year (SE),Computer Science Engineering,"Java, AWS, Python, HTML, C++",A,C,C,C,A,A,A,A,C,C,23,42,35,Podcasts,"Cybersecurity Basics, AWS Cloud Essentials",Clean Code,dev.to
117,Second Year (SE),Information Technology,"JavaScript, Linux, Figma, C++",A,A,C,B,B,C,C,A,C,A,56,27,17,Videos,"Frontend Crash Course, Intro to DSA","Design Patterns, You Don’t Know JS","medium.com, dev.to"
118,First Year (FE),Computer Science Engineering,"Docker, Java, C++, HTML, SQL",B,C,A,B,A,B,A,C,B,C,10,72,18,Podcasts,ML Bootcamp,Design Patterns,geeksforgeeks.org
119,Second Year (SE),Artificial Intelligence and Machine Learning,"Java, SQL, CSS",B,C,A,B,A,A,A,A,A,B,21,64,15,Podcasts,"Frontend Crash Course, ML Bootcamp, Intro to DSA","AI: A Modern Approach, Python Crash Course",freecodecamp.org
120,Second Year (SE),Artificial Intelligence and Machine Learning,"Python, Figma, CSS, HTML",A,C,B,B,A,A,B,A,B,C,47,11,42,Videos,"ML Bootcamp, Cybersecurity Basics",You Don’t Know JS,dev.to
121,First Year (FE),Electronics and Computer Engineering,"Linux, React, Docker",C,B,C,A,A,A,B,C,C,A,48,33,19,Videos,"Frontend Crash Course, AWS Cloud Essentials, Cybersecurity Basics","Python Crash Course, You Don’t Know JS","towardsdatascience.com, medium.com"
122,Third Year (TE),Computer Science Engineering,"CSS, Java, SQL",C,A,C,B,A,C,C,C,C,A,14,41,45,Projects,"ML Bootcamp, Intro to DSA, AWS Cloud Essentials","Python Crash Course, Design Patterns",freecodecamp.org
